FID,OBJECTID_1,OBJECTID_2,OBJECTID_3,OBJECTID_4,OBJECTID,LINE_ID,TYPE,CALC_LENGT,DIAMETER,DRAINAGE_A,FLOW_RATE,LENGTH,WIDTH,HEIGHT,SLOPE,ROUGHNESS,VELOCITY,UPSTREAMNO,DOWNSTREAM,UPSTREAM_1,DOWNSTRE_1,FILENUM,INSTALL_DA,LIFE_CYCLE,OWNER,DATA_SOURC,CREATED_BY,LAST_EDITE,LAST_EDI_1,TYPE_USE,SHAPESTLen,Shape_Leng,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,LengthKM,ReachCode,FlowDir,WBArea_Per,FTYPE,FCode,ComID,WbAreaComi,HUC8,DIVERGENCE,STREAMORDE,TOCOMID,CUMDRAINAG,MAFLOWU,MAVELU,TONODE,FROMNODE,OBJECTID_5,MainPath,InNetwork,Visibility,Shape_Le_1,Shape_Le_2,Shape_Le_3,Shape_Le_4,Enabled,Shape_Le_5,ORIG_FID,POINT_X,POINT_Y,POINT_Z,POINT_M,Elevation,subcatch_r
10,12,4433,4433,4639,41838,23663,Reinforced Concrete Pipe,99.590319949999994,30, , ,105, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,Edited by FILENUM 18151 and Easements, ,99.590319949199994,0.000291335708562, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000291335708562,0.000291334794516,1,0.000291334794516,5,-157.754472743000008,21.298880054000001,0.000000000000000,nan,374.6669922,20
11,12,4433,4433,4639,41838,23663,Reinforced Concrete Pipe,99.590319949999994,30, , ,105, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,Edited by FILENUM 18151 and Easements, ,99.590319949199994,0.000291335708562, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000291335708562,0.000291334794516,1,0.000291334794516,5,-157.754755192999994,21.298808653999998,0.000000000000000,nan,374.6669922,20
12,16,316,316,317,3515,16154,Reinforced Concrete Pipe,45.860727709999999,18, , ,45.861000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,45.860727706500001,0.000129798683521, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000129798683521,0.000129798481364,1,0.000129798481364,6,-157.754252928000000,21.289208321000000,0.000000000000000,nan,78.2424011,89
13,16,316,316,317,3515,16154,Reinforced Concrete Pipe,45.860727709999999,18, , ,45.861000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,45.860727706500001,0.000129798683521, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000129798683521,0.000129798481364,1,0.000129798481364,6,-157.754166483999995,21.289305146000000,0.000000000000000,nan,78.2424011,89
14,17,3390,3390,3547,31448,23671,Reinforced Concrete Pipe,139.895419019999991,18, , ,120, , , , , , , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan, , ,139.895419019000002,0.000409572167642, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000409572167642,0.000409572816857,1,0.000409572816857,7,-157.744959066000007,21.287602571000001,0.000000000000000,nan,515.8129883,58
15,17,3390,3390,3547,31448,23671,Reinforced Concrete Pipe,139.895419019999991,18, , ,120, , , , , , , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan, , ,139.895419019000002,0.000409572167642, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000409572167642,0.000409572816857,1,0.000409572816857,7,-157.744559304000006,21.287513463000000,0.000000000000000,nan,515.8129883,58
16,19,1553,1553,1556,10825,39116,Reinforced Concrete Pipe,33.545776140000001,18,0.500000,2.400000, , , ,0.010000,0.050000,1.400000, , , , ,2626,1990-09-26T00:00:00.000Z, ,Private,SWQDC As-built,SWQDC,jnolan, , ,33.545776136000001,0.000092599129739, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000092599129739,0.000092599504908,1,0.000092599504908,8,-157.747789589000007,21.291227517999999,0.000000000000000,nan,763.1849976,42
17,19,1553,1553,1556,10825,39116,Reinforced Concrete Pipe,33.545776140000001,18,0.500000,2.400000, , , ,0.010000,0.050000,1.400000, , , , ,2626,1990-09-26T00:00:00.000Z, ,Private,SWQDC As-built,SWQDC,jnolan, , ,33.545776136000001,0.000092599129739, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000092599129739,0.000092599504908,1,0.000092599504908,8,-157.747770024000005,21.291318026999999,0.000000000000000,nan,763.1849976,42
18,21,3909,3909,4090,36733,25054,Reinforced Concrete Pipe,111.933856280000001,30, , ,110, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,111.933856274999997,0.000328493927915, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000328493927915,0.000328493363167,1,0.000328493363167,9,-157.754987322999995,21.300657225999998,0.000000000000000,nan,409.7040100,24
19,21,3909,3909,4090,36733,25054,Reinforced Concrete Pipe,111.933856280000001,30, , ,110, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,111.933856274999997,0.000328493927915, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000328493927915,0.000328493363167,1,0.000328493363167,9,-157.755313529000006,21.300695923999999,0.000000000000000,nan,409.7040100,24
20,22,2078,2078,2185,20186,18647,Reinforced Concrete Pipe,234.040344500000003,36, , ,220, , , , , , , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan, , ,234.040344500999993,0.000646221382878, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000646221382878,0.000646221307360,1,0.000646221307360,10,-157.744851047999987,21.289044426000000,0.000000000000000,nan,643.4370117,58
21,22,2078,2078,2185,20186,18647,Reinforced Concrete Pipe,234.040344500000003,36, , ,220, , , , , , , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan, , ,234.040344500999993,0.000646221382878, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000646221382878,0.000646221307360,1,0.000646221307360,10,-157.744707718999990,21.288414299999999,0.000000000000000,nan,643.4370117,58
22,24,2245,2245,2361,21996,18941,Reinforced Concrete Pipe,274.564507639999988,30, , ,274.564, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,274.564507642000024,0.000792384873236, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000792384873236,0.000792384322283,1,0.000792384322283,11,-157.756352372999999,21.284301503999998,0.000000000000000,nan,57.0390015,62
23,24,2245,2245,2361,21996,18941,Reinforced Concrete Pipe,274.564507639999988,30, , ,274.564, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,274.564507642000024,0.000792384873236, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000792384873236,0.000792384322283,1,0.000792384322283,11,-157.755670503999994,21.283900909000000,0.000000000000000,nan,52.8501015,62
24,25,2187,2187,2294,20658,21667,Reinforced Concrete Pipe,120.557843120000001,18, , ,120.557, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,120.557843125000005,0.000335608248929, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000335608248929,0.000335608454988,1,0.000335608454988,12,-157.754182385000007,21.281289789999999,0.000000000000000,nan,9.6477804,75
25,25,2187,2187,2294,20658,21667,Reinforced Concrete Pipe,120.557843120000001,18, , ,120.557, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,120.557843125000005,0.000335608248929, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000335608248929,0.000335608454988,1,0.000335608454988,12,-157.754039338000013,21.280986202000001,0.000000000000000,nan,9.6477804,75
26,29,101,101,101,3105,18604,Reinforced Concrete Pipe,133.244616390000004,18, , ,133.246000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,133.244616388999987,0.000387567327728, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000387567327728,0.000387567924648,1,0.000376806229767,13,-157.752210665999996,21.282600889299999,0.000000000000000,nan,17.9643002,21
27,29,101,101,101,3105,18604,Reinforced Concrete Pipe,133.244616390000004,18, , ,133.246000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,133.244616388999987,0.000387567327728, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000387567327728,0.000387567924648,1,0.000376806229767,13,-157.752642153000011,21.282420487000000,0.000000000000000,nan,17.9643002,21
28,30,2369,2369,2485,22448,23390,Reinforced Concrete Pipe,152.828487080000002,18, , ,135, , , , , , , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan, , ,152.828487075999988,0.000447970765788, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000447970765788,0.000447970925372,1,0.000447970925372,14,-157.746145592000005,21.292677336000001,0.000000000000000,nan,836.4689941,45
29,30,2369,2369,2485,22448,23390,Reinforced Concrete Pipe,152.828487080000002,18, , ,135, , , , , , , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan, , ,152.828487075999988,0.000447970765788, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000447970765788,0.000447970925372,1,0.000447970925372,14,-157.746586688000008,21.292599155000001,0.000000000000000,nan,859.6030273,47
30,31,3503,3503,3672,32992,24145,Reinforced Concrete Pipe,85.812336650000006,24, , ,75, , , , , , , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan, , ,85.812336650700004,0.000251454564528, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000251454564528,0.000251454551447,1,0.000251454551447,15,-157.747012839999996,21.286085616000001,0.000000000000000,nan,507.1589966,63
31,31,3503,3503,3672,32992,24145,Reinforced Concrete Pipe,85.812336650000006,24, , ,75, , , , , , , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan, , ,85.812336650700004,0.000251454564528, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000251454564528,0.000251454551447,1,0.000251454551447,15,-157.746765743999987,21.286039000999999,0.000000000000000,nan,507.1589966,63
32,33,2772,2772,2903,26520,42363,Reinforced Concrete Pipe,115.124637829999998,18,3.58,12.87, , , ,0.065000,0.740000,7.270000, , , , ,2620, , ,Private,SWQDC As-built,SWQDC,jnolan, , ,115.124637828000004,0.000318911366559, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000318911366559,0.000318910747692,1,0.000318910747692,16,-157.744632620000004,21.292763780000001,0.000000000000000,nan,836.4689941,44
33,33,2772,2772,2903,26520,42363,Reinforced Concrete Pipe,115.124637829999998,18,3.58,12.87, , , ,0.065000,0.740000,7.270000, , , , ,2620, , ,Private,SWQDC As-built,SWQDC,jnolan, , ,115.124637828000004,0.000318911366559, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000318911366559,0.000318910747692,1,0.000318910747692,16,-157.744530700000013,21.292461593999999,0.000000000000000,nan,836.4689941,44
34,37,603,603,604,4953,17335,Reinforced Concrete Pipe,21.246643450000001,18, , ,21.247000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,21.246643450000001,0.000060107629540, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000060107629540,0.000060107775529,1,0.000060107775529,17,-157.753128508000003,21.287992233000001,0.000000000000000,nan,166.0939941,34
35,37,603,603,604,4953,17335,Reinforced Concrete Pipe,21.246643450000001,18, , ,21.247000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,21.246643450000001,0.000060107629540, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000060107629540,0.000060107775529,1,0.000060107775529,17,-157.753168237000011,21.287947126999999,0.000000000000000,nan,166.0939941,34
36,38,3198,3198,3346,29904,37345,Ditch,501.319294280000008, ,1.8,7.7, , , , , , , , , , ,2626,1990-09-26T00:00:00.000Z, ,Private,SWQDC As-built,SWQDC,jnolan,TYPE=Interceptor Ditch, ,501.319294275999994,0.001421303626800, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.001421303626800,0.001421304109160,1,0.001421304109160,18,-157.746396965999992,21.294736669999999,0.000000000000000,nan,923.8389893,42
37,38,3198,3198,3346,29904,37345,Ditch,501.319294280000008, ,1.8,7.7, , , , , , , , , , ,2626,1990-09-26T00:00:00.000Z, ,Private,SWQDC As-built,SWQDC,jnolan,TYPE=Interceptor Ditch, ,501.319294275999994,0.001421303626800, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.001421303626800,0.001421304109160,1,0.001421304109160,18,-157.747180323999999,21.293919464999998,0.000000000000000,nan,923.8389893,42
38,43,3070,3070,3218,29206,16760,Reinforced Concrete Pipe,102.856100290000001,30, , ,102.857000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,102.856100287000004,0.000301899345517, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000301899345517,0.000301899226781,1,0.000301899226781,19,-157.757081696999990,21.290228488000000,0.000000000000000,nan,150.9309998,25
39,43,3070,3070,3218,29206,16760,Reinforced Concrete Pipe,102.856100290000001,30, , ,102.857000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,102.856100287000004,0.000301899345517, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000301899345517,0.000301899226781,1,0.000301899226781,19,-157.756781409000013,21.290197338999999,0.000000000000000,nan,150.9309998,25
40,46,6368,6368,6669,209505,209505,Reinforced Concrete Pipe,23.711170169999999,18, , , , , , , , , , , , ,WR20193, ,"Constructed, existing ROW",City and County of Honolulu,Other,jnolan,jnolan,DFM ROADS - Field Error Report, ,23.711170165399999,0.000065447461782, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000065447461782,0.000065447894660,1,0.000065447894660,20,-157.752939147999996,21.289033981999999,0.000000000000000,nan,166.0939941,89
41,46,6368,6368,6669,209505,209505,Reinforced Concrete Pipe,23.711170169999999,18, , , , , , , , , , , , ,WR20193, ,"Constructed, existing ROW",City and County of Honolulu,Other,jnolan,jnolan,DFM ROADS - Field Error Report, ,23.711170165399999,0.000065447461782, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000065447461782,0.000065447894660,1,0.000065447894660,20,-157.752952814999986,21.289097987000002,0.000000000000000,nan,166.0939941,89
42,47,1005,1005,1008,6685,19941,Reinforced Concrete Pipe,31.426882070000001,18, , ,25, , , , , , , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan, , ,31.426882072900000,0.000086823928009, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000086823928009,0.000086824138416,1,0.000086824138416,21,-157.745552516999993,21.290819120999998,0.000000000000000,nan,754.7379761,52
43,47,1005,1005,1008,6685,19941,Reinforced Concrete Pipe,31.426882070000001,18, , ,25, , , , , , , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan, , ,31.426882072900000,0.000086823928009, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000086823928009,0.000086824138416,1,0.000086824138416,21,-157.745531519999986,21.290734874000002,0.000000000000000,nan,754.7379761,52
44,48,171,171,172,3208,18959,Reinforced Concrete Pipe,228.414077789999993,18, , ,228.414000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,228.414077784999989,0.000631856329112, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000631856329112,0.000631856477146,1,0.000631856477146,22,-157.756934771000005,21.282680927000001,0.000000000000000,nan,52.8501015,66
45,48,171,171,172,3208,18959,Reinforced Concrete Pipe,228.414077789999993,18, , ,228.414000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,228.414077784999989,0.000631856329112, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000631856329112,0.000631856477146,1,0.000631856477146,22,-157.756757335999993,21.282074712000000,0.000000000000000,nan,49.2882004,23
